大学名,HP,カテゴリ,監督氏名,部員数,新４年人数,新３年人数,新２年人数,新１年人数,24新入部員,25新入部員,22J内定,23J内定,24J内定,24デンソー出場,25デンソー出場,部員主な学部,面数,部員寮,施設特記事項,スポーツ推薦有無,スポーツ推薦基準評定,スポーツ推薦受入人数,セレクション有無,セレクション時期,一般入部可否,入部条件,推薦条件など　他,PLAYMAKERコメント
上武大学,https://jobuuniv-fc.com/,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),田坂 和昭,130,47,32,18,33,https://jobuuniv-fc.com/player/list/grade/1,,0,0,0,0,0,ビジネス情報学部,2,あり,学内人工芝,有,,50,有,,条件有,入試前に練習参加必須,,北関東で常に上位入りする大学。人工芝2面やクラブハウスを有し、スポーツに力を入れている大学。都県リーグ勢では珍しく社会人リーグにもＢチームが所属しており、群馬県で上位に入っている。部員数が多いものの、各カテゴリーで試合機会も多く、這い上がりたい選手にはおすすめ
尚美学園大学,https://www.footballnavi.jp/shobi-univ/,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),星野 泰聖,130,27,35,41,27,https://www.footballnavi.jp/shobi-univ/page.php?pno=1184,,0,0,0,0,0,スポーツマネジメント学部,1,なし,学内人工芝,有,3,30,無,,条件有,入試前に練習参加必須高校指導者からの推薦が必要一般入部は仮入部を経て決定,学部の数に限りがあるため時期によっては選べない可能性がある,"2024年Norte1部優勝。関東大会第3位で作新学院大学との関東3部参入POを戦うも敗戦。2年連続の入れ替え戦敗退となった。過去、関東2部に所属経験もある埼玉県で常に上位に入る大学。学校からのサポート体制も手厚くS級所持者が3名おり指導にあたっている。部費も月3,000円で格安で学力優秀者には免除をするなどサッカーだけではなく勉強面もサポート。学内にグラウンドを有しており、サッカーにも打ち込むことができる。2024年から新体制となりスタッフが全員OBとなった。"
埼玉工業大学,https://www.saiko-fc.com/,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),今成 和尚,48,9,14,12,13,https://www.saiko-fc.com/%E8%A4%87%E8%A3%BD-%E5%B9%B4%E7%94%9F-1,,0,0,0,0,0,人間社会学部,1,なし,学内人工芝,有,,10,無,,条件有,入試前に練習参加必須,,過去、Jリーガーも数名輩出しているチーム。朝練が基本中心となる。監督は国士舘大学OBでGKだったこともあり、多くのGKを次のステージへ輩出している。長年このチームを率いており、手厚く学生をサポートしている。今季はNORTE1部上位へ食い込み、関東大会出場争いを展開。関東リーグ昇格を目指す。
足利大学,https://www2.ashitech.ac.jp/club/soccer/,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),谷田部 將司,32,8,13,6,5,https://www2.ashitech.ac.jp/club/soccer/sample/index.html#sec7,,0,0,0,0,0,工学部等,1,なし,市の人工芝施設,無,,,無,夏,可,誰でも入部可,,栃木県にある理系大学。監督は関東連盟副理事長を務めている谷田部氏が務め、選手をサポートしている。グラウンドは足利市と提携事業でつくられた「あしスタ」を利用し、地域との繋がりも大切にしている。夏に練習会も用意されているため興味がある選手は参加してみよう
白鷗大学,https://hakuohsoccer.club/,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),吉永 広人,54,16,23,15,,,,0,0,0,0,0,経営学部、教育学部等,1,なし,学内人工芝,有,3.3,,無,,可,誰でも入部可,入試前に練習参加し、認められた選手,栃木県にある教育系に強みを持つ大学。学内に人工芝をもち、監督がいながらも学生で考え行動することに重きを置いている。そのようなスタイルもあり、これまで教員や公務員を多く輩出してきた。Bチームは栃木県1部に所属し良いレベル感での出場機会が用意されている。
埼玉大学,https://park.saitama-u.ac.jp/~student_support/wp-content/uploads/2022/02/123.pdf,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),菊原 伸郎,0,,,,,,,0,0,0,0,0,教養学部、経済学部等,1,なし,天然芝,無,,,無,,可,誰でも入部可,,埼玉県の国立大学で教員養成に強みをもつ大学。監督は元Jリーガーで教授である菊原氏。自律した人材輩出を目指し、トレーニングも学生が中心となり学びながら組み立てている。グラウンドは天然芝を保有しておりこれも学生で管理をしている、公共施設の人工芝を使用することも多い。まじめな選手が多い印象。
駿河台大学,https://surugadai-fc.com/,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),髙峯 弘樹,75,9,24,28,14,https://surugadai-fc.com/introduction/,,0,0,0,0,0,スポーツ科学部、法学部等,1,なし,学内人工芝,有,3,20,無,,条件有,入試前に練習参加必須,都道府県ベスト16以上,近年、部員数も増え、選手獲得にも力をいれる埼玉県に所在する大学。監督は過去神奈川大学などでも指揮を執った高峯氏。チームの取り組みとしてチームビルディングなども取り入れながらより「考える」要素も加え強化を図っている。トレーニングは基本朝練が中心。近年スポーツ科学部も設置され保健体育教員免許も取得可能。2024年はNorte1部で上位に食い込み関東大会出場争いを最終節まで展開するも、惜しくも関東大会出場ならず
文教大学,https://www.bunkyo-fc.com/,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),藤原 良浩,46,6,10,17,13,https://www.bunkyo-fc.com/about-1,,0,0,0,0,0,教育学部、文学部、経営学部他,1,なし,学校人工芝,無,,,無,,可,誰でも入部可,,教員採用率が全国TOPレベルを誇る大学。それもあり学生主体運営を打ち出し、監督はいるもののトレーニングメニューやメンバー選考、各種イベントなども学生が中心となり運営している。サッカー人生史上最も熱い時間を過ごすことを理念として標ぼうしており、人としての成長を促している。チームの雰囲気は良いと評判
常磐大学,https://tokiwafootball13.wixsite.com/tokiwafiitball13,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),猿山 誠,44,5,11,9,19,https://www.tokiwa-soccer.com/,,0,0,0,0,0,人間科学部、総合政策学部等,1,なし,学内人工芝（サイズは小さい）,有,,,有,夏,可,誰でも入部可,都道府県大会出場夏のセレクション参加必須,茨城県に所在し、水戸ホーリーホックと提携をしている。監督は今季から過去城西大学で関東リーグ出場や天皇杯出場を果たした経験を持つ猿山氏が就任。北関東の選手が多いが、今後選手獲得に力を入れ強化を図るのではとみられる。昨年はNorte1部で下位となり2部降格となったが、1年で1部復帰が決定。今後の動向に注目
平成国際大学,http://www.hiu-soccer.com/,Norte１部 (https://www.notion.so/Norte-9df4b5977b834f8db8b9c40cc79d651d?pvs=21),冨士 祐樹,95,20,15,26,34,https://www.jufa-kanto.jp/news.php?kn=3805,,1,0,0,0,0,スポーツ健康学部等,1,なし,,有,3,30,無,,条件有,練習参加で入試前に合格必要(30名程度),特待あり,2023年関東3部昇格。埼玉県所在。監督が元Jリーガーであり、自分で考える力を養うことを目指している。学生が中心となりスクール活動なども実施している。大学自体は公務員に強く、警察官や消防士などを目指している選手にはおすすめ。
